(Cdad. Mtar.),(CAD. MTAR.)
educado,вежливый
educador,преподаватель
educando,ученик
educar,просвещать
educativo,образование
educción,выпуск
educir,едус
eductor,преподаватель
edulcorante,подсластитель
edulcorar,подсласти
edén,Eden
edénico,Edenico.
edículo,Степень
efe,EFE.
efebo,Edebo.
efebocracia,Эпобекратия
efectismo,сенсационность
efectista,Эффектор
efectivamente,эффективно
efectividad,эффективность
efectivo,денежные средства
efecto,эффект
efectuación,эффективность
efectuar,делать
efectuarse,выполнять
efedrina,эфедрин
efedro,Эфедрон
efeleoflo,Efleoflo.
efelide,Efelide.
efemeride,мероприятие
efemeroptero,Efemeroppero.
efeminar,Эффективный.
efemérides,Эфемери
efeméridos,Эфемеры
eferente,эфферентность
efervescencia,шипение
efervescente,шипучий
eficacia,эффективность
eficaz,эффективно
eficiencia,эффективность
eficiente,эффективный
efigie,чучела
efimero,эфемерал
eflorecerse,Выцветание
eflorescencia,выцветание
efluente,сточные силы
efluir,вытеснять
efluvio,Эфлог
efrain,Efrain.
efugio,уклонение от
efulguración,эффульгинальность
efundir,преобразовать
efusion,выпоток
efusivamente,потенциал
efusivo,эффузивно
efusión,выпоток
efélide,Efélide.
efémera,Efemera.
efémeros,Эпимероны
efímera,эфемерал
efímero,эфемерал
egeria,Egeria.
egida,aegis.
egipciaco,Египткиа.
egipciano,Египтаано.
egipcio,Египетский
egipcíaco,Египтаано.
egiptana,Египтана.
egiptano,Египтаано.
egipto,Египет
egiptología,египтология
egiptólogo,египтолог
egipán,Египетский
eglogista,Eglogista
egocentrismo,эгоцентризм
egocéntrico,эгоцентрический
egofonia,Энгофония
egoismo,эгоизм
egoistón,Egoistón.
egolatría,эгоизм
egolátrico,эголатрический
egomaniaco,Эгоист
egotismo,эгоизм
egotista,эгоист
egoísmo,эгоизм
egoísta,эгоистичный
egoístico,эгоистический
egregio,Aegregio
egresar,выпускник
egresión,Engressivice
egreso,Egresso.
eguar,ЭГУАР
egílope,Эгилоп
egócero,Egico.
ególatra,эгоистичный
eider,навес
eidero,эйдро
einstein,Эйнштейн.
einstenio,Эйнстениум
eirá,и перейти к
eje,ось
ejecucion,спектакль
ejecución,спектакль
ejecutable,исполняемый файл
ejecutante,исполнитель
ejecutar,выполнять
ejecutiva,должностное лицо
ejecutivamente,исполнительно
ejecutivo,должностное лицо
ejecutor,исполнитель
ejecutoria,Исполнитель
ejecutorial,Руководство
ejecutoriar,Исполнение
ejecutorio,Исполнитель
ejecutoría,Исполнитель
ejem,Ahem.
ejemplar,скопировать
ejemplarizar,примерный
ejemplarmente,примерный
ejemplificar,примером
ejemplo,пример
ejercer,упражнение
ejercicio,упражнение
ejercicios,упражнения
ejercitado,осуществляется
ejercitar,заниматься спортом
ejercito,армия
ejido,Ejido.
ejion,Эйон.
ejión,Эйон
ejote,Эеоте.
ejército,армия
el,то
el caso es que...,"Дело в том, что..."
el líquido elemento,Жидкий элемент
el más pintado,Самый окрашенный
el otro barrio,Другой район
el petizo de los mandados,Петизова поручений
el reverso de la medalla,другая сторона картины
el revés de la medalla,Реверс медали
elaboración,разработка
elaborado,Разработанный
elaborar,разрабатывать
elación,въезда
elapso,Элапс
elasticidad,эластичность
elastico,эластичный
elaterio,Елетерия.
elche,Elche
ele,Эль
eleagnáceas,Eleagnaceae.
eleboro,морозник
eleccionario,выборы
elección,выбор
electividad,Выборка
electivo,избирательный
electo,избранный
elector,извещать
electorado,электорат
electoral,избирательный
electorero,Избирательный
electra,Электра.
electricidad,электричество
electricista,электрика
electrico,электрический
electrificación,электрификация
electrificar,электрифицировать.
electrizable,электрический
electrización,электричество
